-6.38473,1.52416,-3.62315e-06,-2.38232e-07,-2.21691e-07,0.691365,0.722506
-6.38394,1.54168,-3.62376e-06,-2.40859e-07,-2.23838e-07,0.690851,0.722997
-6.38311,1.55973,-3.6244e-06,-2.43151e-07,-2.25645e-07,0.690321,0.723503
-6.38228,1.57724,-3.62453e-06,-2.41552e-07,-2.28414e-07,0.689983,0.723826
-6.38143,1.59475,-3.62603e-06,-2.37945e-07,-2.23453e-07,0.689648,0.724145
-6.38054,1.61279,-3.62741e-06,-2.33479e-07,-2.18166e-07,0.689303,0.724474
-6.37966,1.6303,-3.62817e-06,-2.28586e-07,-2.13079e-07,0.688967,0.724792
-6.37877,1.64781,-3.62861e-06,-2.08291e-07,-1.9724e-07,0.688799,0.724952
-6.37784,1.66585,-3.62284e-06,-1.96224e-07,-1.85651e-07,0.688629,0.725114
-6.37693,1.68335,-3.61533e-06,-1.86475e-07,-1.76323e-07,0.688463,0.725271
-6.37602,1.70086,-3.60832e-06,-1.76971e-07,-1.6637e-07,0.688298,0.725428
-6.37506,1.71889,-3.60519e-06,-1.73085e-07,-1.58925e-07,0.687992,0.725718
-6.37412,1.73639,-3.61124e-06,-1.68816e-07,-1.34793e-07,0.687693,0.726002
-6.37316,1.75389,-3.6502e-06,-1.32963e-07,-1.04548e-07,0.687396,0.726283
-6.37216,1.77192,-3.68901e-06,-8.13123e-08,-8.45232e-08,0.687091,0.726571
-6.37118,1.78941,-3.7317e-06,-3.95547e-08,-3.67043e-08,0.68696,0.726695
-6.3702,1.80691,-3.72811e-06,-3.86397e-08,-3.5845e-08,0.686833,0.726816
-6.36917,1.82494,-3.72419e-06,-3.82948e-08,-3.55062e-08,0.686701,0.72694
-6.36817,1.84243,-3.72046e-06,-3.92767e-08,-3.64339e-08,0.686701,0.72694
-6.36718,1.85993,-3.71698e-06,-4.02307e-08,-3.73353e-08,0.686703,0.726938
-6.36615,1.87795,-3.71392e-06,-4.17989e-08,-3.88167e-08,0.686705,0.726936
-6.36515,1.89545,-3.71167e-06,-4.38133e-08,-4.07195e-08,0.686707,0.726934
-6.36416,1.91295,-3.71031e-06,-4.62123e-08,-4.29856e-08,0.686709,0.726932
-6.36313,1.93097,-3.70995e-06,-4.89616e-08,-4.55826e-08,0.686711,0.72693
-6.36213,1.94847,-3.71071e-06,-5.17656e-08,-4.82312e-08,0.686713,0.726928
-6.36114,1.96596,-3.71259e-06,-5.45644e-08,-5.0875e-08,0.686715,0.726927
-6.36011,1.98399,-3.71565e-06,-5.72981e-08,-5.34573e-08,0.686717,0.726924
-6.35912,2.00149,-3.71964e-06,-5.96727e-08,-5.57004e-08,0.686719,0.726923
-6.35812,2.01898,-3.72449e-06,-6.16547e-08,-5.75728e-08,0.686722,0.726921
-6.35709,2.03701,-3.73022e-06,-6.31832e-08,-5.90168e-08,0.686724,0.726919
-6.3561,2.05451,-3.73629e-06,-6.47566e-08,-6.05277e-08,0.686869,0.726781
-6.35512,2.072,-3.74261e-06,-6.49907e-08,-6.0774e-08,0.687018,0.72664
-6.35411,2.09003,-3.74913e-06,-6.45751e-08,-6.04067e-08,0.687171,0.726496
-6.35314,2.10753,-3.75523e-06,-6.3558e-08,-5.94692e-08,0.68732,0.726355
-6.35218,2.12502,-3.76087e-06,-6.26033e-08,-5.86117e-08,0.6876,0.72609
-6.3512,2.14305,-3.72224e-06,-1.22946e-07,-1.00194e-07,0.687891,0.725814
-6.35027,2.16056,-3.62253e-06,-1.84913e-07,-1.80188e-07,0.688179,0.725541
